@relation 'housing_train-weka.filters.unsupervised.attribute.Remove-R1-2,16-weka.filters.unsupervised.attribute.NominalToBinary-R6-11-weka.filters.unsupervised.attribute.NumericToBinary-R6-11-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.unsupervised.attribute.NumericTransform-R4,5,15,16,17,18-Cjava.lang.Math-Mfloor-weka.filters.supervised.instance.SpreadSubsample-M3.0-X0.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R1-2,4-18-weka.filters.unsupervised.attribute.Discretize-F-B6-M-1.0-R1-precision0'

@attribute sqfeet {'\'(-inf-705]\'','\'(705-889]\'','\'(889-1040]\'','\'(1040-1254]\'','\'(1254-1709]\'','\'(1709-inf)\''}
@attribute demand {yes,no}

@data
'\'(705-889]\'',yes
'\'(705-889]\'',yes
'\'(1254-1709]\'',yes
'\'(889-1040]\'',yes
'\'(1254-1709]\'',no
'\'(1040-1254]\'',yes
'\'(1254-1709]\'',no
'\'(889-1040]\'',yes
'\'(-inf-705]\'',yes
'\'(-inf-705]\'',yes
'\'(1709-inf)\'',no
'\'(889-1040]\'',yes
'\'(889-1040]\'',yes
'\'(1254-1709]\'',yes
'\'(705-889]\'',yes
'\'(1040-1254]\'',yes
'\'(705-889]\'',yes
'\'(889-1040]\'',yes
'\'(1040-1254]\'',no
'\'(1709-inf)\'',no
'\'(1709-inf)\'',no
'\'(889-1040]\'',yes
'\'(889-1040]\'',yes
'\'(705-889]\'',yes
'\'(1254-1709]\'',yes
'\'(-inf-705]\'',yes
'\'(705-889]\'',yes
'\'(1709-inf)\'',no
'\'(705-889]\'',yes
'\'(1254-1709]\'',no
'\'(1254-1709]\'',yes
'\'(889-1040]\'',yes
'\'(1709-inf)\'',no
'\'(889-1040]\'',no
'\'(1254-1709]\'',yes
'\'(1040-1254]\'',no
'\'(1040-1254]\'',yes
'\'(1709-inf)\'',no
'\'(889-1040]\'',yes
'\'(705-889]\'',yes
'\'(889-1040]\'',yes
'\'(1040-1254]\'',yes
'\'(705-889]\'',yes
'\'(1254-1709]\'',no
'\'(-inf-705]\'',yes
'\'(1040-1254]\'',yes
'\'(705-889]\'',yes
'\'(-inf-705]\'',yes
'\'(1254-1709]\'',yes
'\'(1040-1254]\'',yes
'\'(-inf-705]\'',yes
'\'(1254-1709]\'',no
'\'(1040-1254]\'',yes
'\'(1040-1254]\'',yes
'\'(889-1040]\'',yes
'\'(1040-1254]\'',yes
'\'(1709-inf)\'',no
'\'(1254-1709]\'',no
'\'(1709-inf)\'',no
'\'(-inf-705]\'',yes
'\'(-inf-705]\'',yes
'\'(889-1040]\'',yes
'\'(1709-inf)\'',no
'\'(705-889]\'',yes
'\'(705-889]\'',yes
'\'(889-1040]\'',yes
'\'(1254-1709]\'',yes
'\'(889-1040]\'',yes
'\'(1040-1254]\'',yes
'\'(1709-inf)\'',no
'\'(-inf-705]\'',yes
'\'(1709-inf)\'',no
'\'(-inf-705]\'',yes
'\'(705-889]\'',yes
'\'(1254-1709]\'',yes
'\'(1709-inf)\'',no
'\'(-inf-705]\'',yes
'\'(1040-1254]\'',yes
'\'(1709-inf)\'',no
'\'(1040-1254]\'',yes
'\'(705-889]\'',yes
'\'(-inf-705]\'',yes
'\'(-inf-705]\'',yes
'\'(1709-inf)\'',no
'\'(889-1040]\'',yes
'\'(-inf-705]\'',yes
'\'(-inf-705]\'',yes
'\'(889-1040]\'',yes
'\'(-inf-705]\'',yes
'\'(-inf-705]\'',yes
'\'(1709-inf)\'',no
'\'(1040-1254]\'',yes
'\'(1254-1709]\'',yes
'\'(889-1040]\'',yes
'\'(1254-1709]\'',no
'\'(889-1040]\'',yes
'\'(1040-1254]\'',yes
'\'(1254-1709]\'',no
'\'(1254-1709]\'',no
'\'(1040-1254]\'',no
'\'(1709-inf)\'',no
'\'(1254-1709]\'',no
'\'(705-889]\'',yes
'\'(-inf-705]\'',yes
'\'(889-1040]\'',yes
'\'(705-889]\'',yes
'\'(1254-1709]\'',no
'\'(705-889]\'',yes
'\'(1709-inf)\'',no
'\'(705-889]\'',yes
'\'(1709-inf)\'',yes
'\'(1040-1254]\'',yes
'\'(1040-1254]\'',yes
'\'(-inf-705]\'',yes
'\'(705-889]\'',yes
'\'(889-1040]\'',yes
'\'(1254-1709]\'',yes
'\'(889-1040]\'',yes
'\'(1709-inf)\'',yes
'\'(705-889]\'',yes
'\'(705-889]\'',yes
'\'(1254-1709]\'',yes
'\'(1709-inf)\'',no
'\'(1709-inf)\'',no
'\'(889-1040]\'',yes
'\'(1040-1254]\'',yes
'\'(-inf-705]\'',yes
'\'(1040-1254]\'',yes
'\'(1254-1709]\'',yes
'\'(705-889]\'',yes
'\'(705-889]\'',yes
'\'(889-1040]\'',yes
'\'(1040-1254]\'',yes
'\'(1254-1709]\'',yes
'\'(1254-1709]\'',yes
'\'(705-889]\'',yes
'\'(1709-inf)\'',yes
'\'(705-889]\'',yes
'\'(889-1040]\'',yes
'\'(1709-inf)\'',no
'\'(705-889]\'',yes
'\'(705-889]\'',yes
'\'(1040-1254]\'',yes
'\'(1709-inf)\'',no
'\'(-inf-705]\'',yes
'\'(1709-inf)\'',no
'\'(705-889]\'',yes
'\'(-inf-705]\'',yes
'\'(705-889]\'',yes
'\'(1709-inf)\'',no
'\'(-inf-705]\'',yes
'\'(1254-1709]\'',yes
'\'(-inf-705]\'',yes
'\'(1254-1709]\'',yes
'\'(705-889]\'',yes
'\'(-inf-705]\'',yes
'\'(889-1040]\'',yes
'\'(705-889]\'',yes
'\'(1709-inf)\'',no
'\'(705-889]\'',yes
'\'(1709-inf)\'',no
'\'(1254-1709]\'',no
'\'(705-889]\'',yes
'\'(-inf-705]\'',yes
'\'(-inf-705]\'',yes
'\'(889-1040]\'',yes
'\'(705-889]\'',yes
'\'(705-889]\'',yes
'\'(1254-1709]\'',no
'\'(889-1040]\'',yes
'\'(1040-1254]\'',yes
'\'(1040-1254]\'',yes
'\'(889-1040]\'',yes
'\'(1709-inf)\'',no
'\'(1709-inf)\'',no
'\'(1254-1709]\'',yes
'\'(-inf-705]\'',yes
'\'(1040-1254]\'',yes
'\'(-inf-705]\'',yes
'\'(1040-1254]\'',yes
'\'(1040-1254]\'',yes
'\'(889-1040]\'',yes
'\'(705-889]\'',yes
'\'(889-1040]\'',yes
'\'(705-889]\'',yes
'\'(889-1040]\'',yes
'\'(889-1040]\'',yes
'\'(1709-inf)\'',no
'\'(1709-inf)\'',no
'\'(1254-1709]\'',yes
'\'(889-1040]\'',yes
'\'(-inf-705]\'',yes
'\'(1709-inf)\'',no
'\'(1040-1254]\'',yes
'\'(-inf-705]\'',yes
'\'(1709-inf)\'',no
'\'(705-889]\'',yes
'\'(-inf-705]\'',yes
'\'(1254-1709]\'',yes
'\'(1254-1709]\'',yes
'\'(1254-1709]\'',yes
'\'(1254-1709]\'',no
'\'(1254-1709]\'',no
'\'(1040-1254]\'',no
'\'(1040-1254]\'',yes
'\'(-inf-705]\'',yes
'\'(705-889]\'',yes
'\'(1709-inf)\'',no
'\'(889-1040]\'',yes
'\'(1254-1709]\'',yes
'\'(1254-1709]\'',no
'\'(1709-inf)\'',no
'\'(-inf-705]\'',yes
'\'(1709-inf)\'',no
'\'(705-889]\'',yes
'\'(-inf-705]\'',yes
'\'(1254-1709]\'',yes
'\'(889-1040]\'',yes
'\'(889-1040]\'',no
'\'(1709-inf)\'',no
'\'(-inf-705]\'',yes
'\'(1040-1254]\'',yes
'\'(1254-1709]\'',no
'\'(889-1040]\'',yes
'\'(1709-inf)\'',no
'\'(1040-1254]\'',yes
'\'(1709-inf)\'',no
'\'(1254-1709]\'',no
'\'(889-1040]\'',yes
'\'(1709-inf)\'',no
'\'(1709-inf)\'',no
'\'(1254-1709]\'',yes
'\'(1254-1709]\'',yes
'\'(1709-inf)\'',no
'\'(-inf-705]\'',yes
'\'(-inf-705]\'',yes
'\'(-inf-705]\'',yes
'\'(1709-inf)\'',yes
'\'(889-1040]\'',yes
'\'(705-889]\'',yes
'\'(1040-1254]\'',yes
'\'(1040-1254]\'',yes
'\'(1254-1709]\'',yes
'\'(1040-1254]\'',yes
'\'(1709-inf)\'',no
'\'(-inf-705]\'',yes
'\'(705-889]\'',yes
'\'(889-1040]\'',yes
'\'(705-889]\'',yes
'\'(1040-1254]\'',yes
'\'(1254-1709]\'',no
'\'(889-1040]\'',yes
'\'(1254-1709]\'',yes
'\'(705-889]\'',yes
'\'(889-1040]\'',yes
'\'(-inf-705]\'',yes
'\'(1040-1254]\'',no
'\'(-inf-705]\'',no
'\'(1040-1254]\'',yes
'\'(1254-1709]\'',yes
'\'(1254-1709]\'',yes
'\'(1709-inf)\'',no
'\'(889-1040]\'',yes
'\'(889-1040]\'',yes
'\'(1254-1709]\'',yes
'\'(1709-inf)\'',yes
'\'(-inf-705]\'',yes
'\'(705-889]\'',yes
'\'(705-889]\'',yes
'\'(-inf-705]\'',yes
'\'(-inf-705]\'',yes
'\'(889-1040]\'',yes
'\'(-inf-705]\'',yes
'\'(1254-1709]\'',no
'\'(889-1040]\'',yes
'\'(1709-inf)\'',no
'\'(1040-1254]\'',yes
'\'(705-889]\'',yes
'\'(1254-1709]\'',no
'\'(-inf-705]\'',yes
'\'(1709-inf)\'',no
'\'(1709-inf)\'',no
'\'(1040-1254]\'',no
'\'(-inf-705]\'',yes
'\'(-inf-705]\'',yes
'\'(1040-1254]\'',yes
'\'(-inf-705]\'',yes
'\'(1254-1709]\'',no
'\'(1040-1254]\'',no
'\'(1709-inf)\'',no
'\'(705-889]\'',yes
'\'(1254-1709]\'',yes
'\'(705-889]\'',yes
'\'(1254-1709]\'',no
'\'(-inf-705]\'',yes
'\'(1254-1709]\'',yes
'\'(889-1040]\'',yes
'\'(1709-inf)\'',no
'\'(1040-1254]\'',yes
'\'(705-889]\'',yes
'\'(1709-inf)\'',no
'\'(1040-1254]\'',yes
'\'(705-889]\'',yes
'\'(889-1040]\'',yes
'\'(705-889]\'',yes
'\'(889-1040]\'',yes
'\'(889-1040]\'',yes
'\'(-inf-705]\'',yes
'\'(705-889]\'',yes
'\'(705-889]\'',yes
'\'(1254-1709]\'',yes
'\'(1709-inf)\'',no
'\'(1254-1709]\'',no
'\'(1709-inf)\'',no
'\'(889-1040]\'',yes
'\'(1254-1709]\'',no
'\'(705-889]\'',yes
'\'(889-1040]\'',yes
'\'(1040-1254]\'',yes
'\'(705-889]\'',yes
'\'(1709-inf)\'',yes
'\'(1709-inf)\'',no
'\'(705-889]\'',yes
'\'(-inf-705]\'',yes
'\'(1709-inf)\'',no
'\'(1040-1254]\'',yes
'\'(1040-1254]\'',yes
'\'(889-1040]\'',yes
'\'(-inf-705]\'',yes
'\'(1709-inf)\'',no
'\'(1254-1709]\'',yes
'\'(889-1040]\'',yes
'\'(1709-inf)\'',no
'\'(1254-1709]\'',yes
'\'(-inf-705]\'',yes
'\'(889-1040]\'',yes
'\'(-inf-705]\'',yes
'\'(-inf-705]\'',yes
'\'(1709-inf)\'',no
'\'(-inf-705]\'',yes
'\'(1040-1254]\'',yes
'\'(-inf-705]\'',yes
'\'(1709-inf)\'',no
'\'(-inf-705]\'',yes
'\'(705-889]\'',yes
'\'(889-1040]\'',yes
'\'(1040-1254]\'',yes
'\'(889-1040]\'',yes
'\'(1254-1709]\'',yes
'\'(1254-1709]\'',no
'\'(705-889]\'',yes
'\'(1709-inf)\'',no
'\'(705-889]\'',yes
'\'(1254-1709]\'',yes
'\'(1040-1254]\'',yes
'\'(1709-inf)\'',no
'\'(1254-1709]\'',no
'\'(705-889]\'',yes
'\'(1040-1254]\'',yes
'\'(889-1040]\'',yes
'\'(1254-1709]\'',no
'\'(1254-1709]\'',no
'\'(-inf-705]\'',yes
'\'(1040-1254]\'',yes
'\'(1254-1709]\'',yes
'\'(-inf-705]\'',yes
'\'(1254-1709]\'',no
'\'(-inf-705]\'',yes
'\'(1040-1254]\'',yes
'\'(1254-1709]\'',no
'\'(1040-1254]\'',yes
'\'(1040-1254]\'',no
'\'(705-889]\'',yes
'\'(1040-1254]\'',yes
'\'(1040-1254]\'',yes
'\'(1254-1709]\'',yes
'\'(1040-1254]\'',no
'\'(1709-inf)\'',no
'\'(1709-inf)\'',no
'\'(1040-1254]\'',yes
'\'(1254-1709]\'',yes
'\'(705-889]\'',yes
'\'(1040-1254]\'',yes
'\'(-inf-705]\'',yes
'\'(1040-1254]\'',yes
'\'(1040-1254]\'',yes
'\'(1254-1709]\'',no
'\'(1709-inf)\'',no
'\'(889-1040]\'',yes
'\'(1254-1709]\'',yes
'\'(-inf-705]\'',yes
'\'(-inf-705]\'',yes
'\'(889-1040]\'',yes
'\'(-inf-705]\'',yes
'\'(889-1040]\'',yes
'\'(-inf-705]\'',yes
'\'(1254-1709]\'',no
'\'(889-1040]\'',yes
'\'(1709-inf)\'',no
'\'(1040-1254]\'',yes
'\'(889-1040]\'',yes
'\'(1040-1254]\'',yes
'\'(-inf-705]\'',yes
'\'(1040-1254]\'',yes
'\'(1254-1709]\'',yes
'\'(1254-1709]\'',yes
'\'(889-1040]\'',no
'\'(889-1040]\'',yes
'\'(705-889]\'',yes
'\'(889-1040]\'',yes
'\'(-inf-705]\'',yes
'\'(-inf-705]\'',yes
'\'(889-1040]\'',yes
'\'(889-1040]\'',yes
'\'(1254-1709]\'',no
'\'(705-889]\'',yes
'\'(705-889]\'',yes
'\'(1709-inf)\'',no
'\'(1254-1709]\'',no
'\'(-inf-705]\'',yes
'\'(1254-1709]\'',no
'\'(-inf-705]\'',yes
'\'(1709-inf)\'',no
'\'(1709-inf)\'',no
'\'(889-1040]\'',yes
'\'(1254-1709]\'',yes
'\'(1040-1254]\'',yes
'\'(-inf-705]\'',yes
'\'(705-889]\'',yes
'\'(1254-1709]\'',no
'\'(1709-inf)\'',no
'\'(-inf-705]\'',yes
'\'(1709-inf)\'',no
'\'(1709-inf)\'',no
'\'(1709-inf)\'',no
'\'(705-889]\'',yes
'\'(889-1040]\'',yes
'\'(889-1040]\'',yes
'\'(889-1040]\'',yes
'\'(1040-1254]\'',yes
'\'(1040-1254]\'',yes
'\'(-inf-705]\'',yes
'\'(1254-1709]\'',no
'\'(-inf-705]\'',yes
'\'(889-1040]\'',yes
'\'(705-889]\'',yes
'\'(889-1040]\'',yes
'\'(1040-1254]\'',no
'\'(705-889]\'',yes
'\'(889-1040]\'',yes
'\'(705-889]\'',yes
'\'(-inf-705]\'',yes
'\'(705-889]\'',yes
'\'(1709-inf)\'',no
'\'(1709-inf)\'',no
'\'(-inf-705]\'',yes
'\'(-inf-705]\'',yes
'\'(-inf-705]\'',yes
'\'(705-889]\'',yes
'\'(1254-1709]\'',no
'\'(1040-1254]\'',yes
'\'(1709-inf)\'',no
'\'(1040-1254]\'',no
'\'(889-1040]\'',yes
'\'(-inf-705]\'',yes
'\'(-inf-705]\'',yes
'\'(889-1040]\'',yes
'\'(889-1040]\'',yes
'\'(-inf-705]\'',yes
'\'(-inf-705]\'',yes
'\'(705-889]\'',yes
'\'(1709-inf)\'',no
'\'(889-1040]\'',yes
'\'(1709-inf)\'',no
'\'(1709-inf)\'',no
'\'(889-1040]\'',yes
'\'(-inf-705]\'',yes
'\'(1040-1254]\'',yes
'\'(1709-inf)\'',no
'\'(889-1040]\'',yes
'\'(1254-1709]\'',yes
'\'(1040-1254]\'',yes
'\'(1709-inf)\'',no
'\'(705-889]\'',yes
'\'(705-889]\'',yes
'\'(1254-1709]\'',no
'\'(889-1040]\'',yes
'\'(889-1040]\'',yes
'\'(1709-inf)\'',no
'\'(-inf-705]\'',yes
'\'(1709-inf)\'',no
'\'(705-889]\'',yes
'\'(-inf-705]\'',yes
'\'(889-1040]\'',yes
'\'(889-1040]\'',yes
'\'(-inf-705]\'',yes
'\'(889-1040]\'',yes
'\'(-inf-705]\'',yes
'\'(1254-1709]\'',no
'\'(1040-1254]\'',yes
'\'(1040-1254]\'',yes
'\'(889-1040]\'',yes
'\'(889-1040]\'',yes
'\'(1254-1709]\'',yes
'\'(705-889]\'',yes
'\'(1254-1709]\'',no
'\'(705-889]\'',yes
'\'(889-1040]\'',yes
'\'(1040-1254]\'',yes
'\'(1040-1254]\'',yes
'\'(1709-inf)\'',no
'\'(1709-inf)\'',yes
'\'(1709-inf)\'',no
'\'(705-889]\'',yes
'\'(705-889]\'',yes
'\'(1709-inf)\'',no
'\'(1254-1709]\'',no
'\'(1709-inf)\'',no
'\'(1040-1254]\'',yes
'\'(889-1040]\'',yes
'\'(1709-inf)\'',yes
'\'(1709-inf)\'',no
'\'(889-1040]\'',yes
'\'(1040-1254]\'',no
'\'(1254-1709]\'',no
'\'(705-889]\'',yes
'\'(889-1040]\'',yes
'\'(1040-1254]\'',yes
'\'(889-1040]\'',yes
'\'(1254-1709]\'',yes
'\'(705-889]\'',yes
'\'(1040-1254]\'',yes
'\'(-inf-705]\'',yes
'\'(1254-1709]\'',no
'\'(889-1040]\'',yes
'\'(889-1040]\'',yes
'\'(889-1040]\'',yes
'\'(1709-inf)\'',no
'\'(1254-1709]\'',no
'\'(1254-1709]\'',no
'\'(705-889]\'',yes
'\'(-inf-705]\'',yes
'\'(1040-1254]\'',no
'\'(1254-1709]\'',yes
'\'(705-889]\'',yes
'\'(705-889]\'',yes
'\'(705-889]\'',yes
'\'(1254-1709]\'',yes
'\'(1254-1709]\'',yes
'\'(1254-1709]\'',yes
'\'(705-889]\'',yes
'\'(-inf-705]\'',yes
'\'(889-1040]\'',yes
'\'(1040-1254]\'',yes
'\'(-inf-705]\'',yes
'\'(1254-1709]\'',yes
'\'(1040-1254]\'',yes
'\'(-inf-705]\'',yes
'\'(1709-inf)\'',no
'\'(1709-inf)\'',no
'\'(1254-1709]\'',yes
'\'(1709-inf)\'',no
'\'(705-889]\'',yes
'\'(1709-inf)\'',no
'\'(1254-1709]\'',no
'\'(-inf-705]\'',yes
'\'(-inf-705]\'',yes
'\'(-inf-705]\'',yes
'\'(1040-1254]\'',no
'\'(1040-1254]\'',yes
'\'(1709-inf)\'',no
'\'(-inf-705]\'',yes
'\'(1709-inf)\'',no
'\'(889-1040]\'',yes
'\'(1040-1254]\'',yes
'\'(705-889]\'',yes
'\'(1709-inf)\'',no
'\'(1254-1709]\'',yes
'\'(1709-inf)\'',no
'\'(1254-1709]\'',yes
'\'(889-1040]\'',yes
'\'(705-889]\'',yes
'\'(1254-1709]\'',yes
'\'(705-889]\'',yes
'\'(889-1040]\'',yes
'\'(705-889]\'',yes
'\'(1254-1709]\'',no
'\'(1254-1709]\'',yes
'\'(1040-1254]\'',yes
'\'(-inf-705]\'',yes
'\'(-inf-705]\'',yes
'\'(1254-1709]\'',yes
'\'(1709-inf)\'',no
'\'(1254-1709]\'',yes
'\'(-inf-705]\'',yes
'\'(705-889]\'',yes
'\'(1040-1254]\'',yes
'\'(1040-1254]\'',yes
'\'(889-1040]\'',yes
'\'(-inf-705]\'',yes
'\'(1254-1709]\'',yes
'\'(1709-inf)\'',no
'\'(705-889]\'',yes
'\'(1709-inf)\'',no
'\'(1254-1709]\'',yes
'\'(1040-1254]\'',yes
'\'(705-889]\'',yes
'\'(1709-inf)\'',no
'\'(-inf-705]\'',yes
'\'(1709-inf)\'',no
'\'(-inf-705]\'',yes
'\'(1709-inf)\'',no
'\'(-inf-705]\'',yes
'\'(705-889]\'',yes
'\'(889-1040]\'',yes
'\'(1709-inf)\'',no
'\'(1040-1254]\'',yes
'\'(1254-1709]\'',no
'\'(1254-1709]\'',yes
'\'(705-889]\'',yes
'\'(1040-1254]\'',yes
'\'(705-889]\'',yes
'\'(1254-1709]\'',no
'\'(1254-1709]\'',yes
'\'(1709-inf)\'',no
'\'(705-889]\'',yes
'\'(889-1040]\'',yes
'\'(-inf-705]\'',yes
'\'(1709-inf)\'',no
'\'(-inf-705]\'',yes
'\'(1709-inf)\'',no
'\'(-inf-705]\'',yes
'\'(1040-1254]\'',yes
'\'(1254-1709]\'',no
'\'(1254-1709]\'',no
'\'(1040-1254]\'',yes
'\'(1709-inf)\'',no
'\'(705-889]\'',yes
'\'(1254-1709]\'',no
'\'(-inf-705]\'',yes
'\'(889-1040]\'',yes
'\'(1254-1709]\'',yes
'\'(1709-inf)\'',no
'\'(-inf-705]\'',yes
'\'(-inf-705]\'',yes
'\'(889-1040]\'',yes
'\'(889-1040]\'',yes
'\'(-inf-705]\'',yes
'\'(1709-inf)\'',no
'\'(1040-1254]\'',yes
'\'(1254-1709]\'',yes
'\'(705-889]\'',yes
'\'(1709-inf)\'',no
'\'(705-889]\'',yes
'\'(705-889]\'',yes
'\'(1040-1254]\'',yes
'\'(705-889]\'',yes
'\'(1040-1254]\'',no
'\'(705-889]\'',yes
'\'(1040-1254]\'',yes
'\'(1709-inf)\'',yes
'\'(1709-inf)\'',no
'\'(705-889]\'',yes
'\'(889-1040]\'',yes
'\'(1709-inf)\'',no
'\'(-inf-705]\'',yes
'\'(1709-inf)\'',no
'\'(1254-1709]\'',yes
'\'(1254-1709]\'',yes
'\'(1709-inf)\'',yes
'\'(1709-inf)\'',no
'\'(889-1040]\'',yes
'\'(1254-1709]\'',yes
'\'(705-889]\'',yes
'\'(1254-1709]\'',no
'\'(1040-1254]\'',yes
'\'(705-889]\'',yes
'\'(-inf-705]\'',yes
'\'(1254-1709]\'',no
'\'(-inf-705]\'',yes
'\'(1709-inf)\'',no
'\'(889-1040]\'',yes
'\'(1040-1254]\'',yes
'\'(889-1040]\'',yes
'\'(1254-1709]\'',yes
'\'(705-889]\'',yes
'\'(1709-inf)\'',no
'\'(1040-1254]\'',yes
'\'(1254-1709]\'',yes
'\'(1709-inf)\'',no
'\'(1254-1709]\'',no
'\'(1254-1709]\'',yes
'\'(1709-inf)\'',no
'\'(-inf-705]\'',yes
'\'(1040-1254]\'',yes
'\'(1254-1709]\'',yes
'\'(1254-1709]\'',yes
'\'(1254-1709]\'',no
'\'(1709-inf)\'',no
'\'(1040-1254]\'',yes
'\'(705-889]\'',yes
'\'(1709-inf)\'',no
'\'(889-1040]\'',yes
'\'(889-1040]\'',yes
'\'(1040-1254]\'',yes
'\'(1709-inf)\'',no
'\'(1254-1709]\'',yes
'\'(1040-1254]\'',no
'\'(889-1040]\'',yes
'\'(1709-inf)\'',no
'\'(889-1040]\'',yes
'\'(1254-1709]\'',yes
'\'(-inf-705]\'',yes
'\'(-inf-705]\'',yes
'\'(1040-1254]\'',yes
'\'(705-889]\'',yes
'\'(1040-1254]\'',yes
'\'(889-1040]\'',yes
'\'(889-1040]\'',yes
'\'(1254-1709]\'',yes
'\'(-inf-705]\'',yes
'\'(1709-inf)\'',no
'\'(1040-1254]\'',yes
'\'(1709-inf)\'',no
'\'(-inf-705]\'',yes
'\'(1254-1709]\'',yes
'\'(1040-1254]\'',yes
'\'(-inf-705]\'',yes
'\'(705-889]\'',yes
'\'(-inf-705]\'',yes
'\'(1709-inf)\'',no
'\'(705-889]\'',yes
'\'(705-889]\'',yes
'\'(-inf-705]\'',yes
'\'(-inf-705]\'',yes
'\'(-inf-705]\'',yes
'\'(1254-1709]\'',no
'\'(889-1040]\'',yes
'\'(1040-1254]\'',no
'\'(1709-inf)\'',no
'\'(-inf-705]\'',yes
'\'(1040-1254]\'',yes
'\'(705-889]\'',yes
'\'(1254-1709]\'',no
'\'(1709-inf)\'',no
'\'(-inf-705]\'',yes
'\'(1040-1254]\'',yes
'\'(1709-inf)\'',no
'\'(1254-1709]\'',no
'\'(705-889]\'',yes
'\'(705-889]\'',yes
'\'(1254-1709]\'',no
'\'(1709-inf)\'',no
'\'(1254-1709]\'',yes
'\'(889-1040]\'',yes
'\'(705-889]\'',yes
'\'(1709-inf)\'',yes
'\'(705-889]\'',yes
'\'(705-889]\'',yes
'\'(-inf-705]\'',yes
'\'(-inf-705]\'',yes
'\'(889-1040]\'',yes
'\'(889-1040]\'',yes
'\'(1254-1709]\'',yes
'\'(705-889]\'',yes
'\'(1040-1254]\'',yes
'\'(1709-inf)\'',no
'\'(1254-1709]\'',yes
'\'(1254-1709]\'',no
'\'(1040-1254]\'',yes
'\'(889-1040]\'',yes
'\'(1709-inf)\'',no
'\'(1040-1254]\'',yes
'\'(1254-1709]\'',yes
'\'(1040-1254]\'',yes
'\'(-inf-705]\'',yes
'\'(889-1040]\'',yes
'\'(1709-inf)\'',no
'\'(1040-1254]\'',yes
'\'(1709-inf)\'',no
'\'(-inf-705]\'',yes
'\'(1254-1709]\'',no
'\'(705-889]\'',yes
'\'(1709-inf)\'',no
'\'(1040-1254]\'',yes
'\'(705-889]\'',yes
'\'(1040-1254]\'',yes
'\'(1040-1254]\'',no
'\'(889-1040]\'',yes
'\'(-inf-705]\'',yes
'\'(705-889]\'',yes
'\'(889-1040]\'',yes
'\'(705-889]\'',yes
'\'(1254-1709]\'',yes
'\'(889-1040]\'',yes
'\'(1709-inf)\'',no
'\'(1709-inf)\'',no
'\'(1040-1254]\'',yes
'\'(1709-inf)\'',no
'\'(-inf-705]\'',yes
'\'(1040-1254]\'',yes
'\'(889-1040]\'',yes
'\'(705-889]\'',yes
'\'(-inf-705]\'',yes
'\'(1040-1254]\'',yes
'\'(1040-1254]\'',yes
'\'(-inf-705]\'',yes
'\'(1254-1709]\'',yes
'\'(889-1040]\'',yes
'\'(889-1040]\'',yes
'\'(-inf-705]\'',yes
'\'(1254-1709]\'',yes
'\'(1709-inf)\'',yes
'\'(-inf-705]\'',yes
'\'(1040-1254]\'',yes
'\'(1040-1254]\'',yes
'\'(1254-1709]\'',no
'\'(1709-inf)\'',no
'\'(705-889]\'',yes
'\'(1709-inf)\'',no
'\'(1040-1254]\'',yes
'\'(705-889]\'',yes
'\'(1709-inf)\'',no
'\'(1254-1709]\'',yes
'\'(-inf-705]\'',yes
'\'(1040-1254]\'',yes
'\'(705-889]\'',yes
'\'(889-1040]\'',yes
'\'(1254-1709]\'',no
'\'(889-1040]\'',yes
'\'(1254-1709]\'',no
'\'(-inf-705]\'',yes
'\'(705-889]\'',yes
'\'(1040-1254]\'',yes
'\'(1254-1709]\'',no
'\'(705-889]\'',yes
'\'(1709-inf)\'',no
'\'(705-889]\'',yes
'\'(889-1040]\'',yes
'\'(1709-inf)\'',no
'\'(889-1040]\'',yes
'\'(889-1040]\'',yes
'\'(889-1040]\'',yes
'\'(1040-1254]\'',yes
'\'(-inf-705]\'',yes
'\'(889-1040]\'',yes
'\'(705-889]\'',yes
'\'(705-889]\'',yes
'\'(-inf-705]\'',yes
'\'(-inf-705]\'',yes
'\'(889-1040]\'',yes
'\'(1254-1709]\'',yes
'\'(705-889]\'',yes
'\'(1709-inf)\'',no
'\'(1040-1254]\'',yes
'\'(889-1040]\'',yes
'\'(-inf-705]\'',yes
'\'(889-1040]\'',yes
'\'(1709-inf)\'',no
'\'(705-889]\'',yes
'\'(705-889]\'',yes
'\'(1254-1709]\'',yes
'\'(889-1040]\'',yes
'\'(-inf-705]\'',yes
'\'(1040-1254]\'',yes
'\'(-inf-705]\'',yes
'\'(1040-1254]\'',yes
'\'(705-889]\'',yes
'\'(1709-inf)\'',no
'\'(1254-1709]\'',no
'\'(1709-inf)\'',yes
'\'(1709-inf)\'',yes
'\'(1040-1254]\'',yes
'\'(1040-1254]\'',yes
'\'(1040-1254]\'',yes
'\'(889-1040]\'',yes
'\'(1709-inf)\'',no
'\'(-inf-705]\'',yes
'\'(705-889]\'',yes
'\'(705-889]\'',yes
'\'(1040-1254]\'',yes
'\'(889-1040]\'',yes
'\'(889-1040]\'',yes
'\'(1040-1254]\'',yes
'\'(705-889]\'',yes
'\'(1254-1709]\'',yes
